countryName,reportingYear,pollutant,emissions
Belgium,2008,Fluoranthene,24.74
Belgium,2008,Fluorides (as total F),1526110
Belgium,2008,Halogenated organic compounds (as AOX),34450
Belgium,2008,Lead and compounds (as Pb),3924.8
Belgium,2008,Mercury and compounds (as Hg),23.75
Belgium,2008,Nickel and compounds (as Ni),6352.6
Belgium,2008,Nonylphenol and Nonylphenol ethoxylates,1.16
Belgium,2008,PCDD + PCDF (dioxins + furans) (as Teq),0.011
Belgium,2008,Pentachlorophenol (PCP),33.1
Belgium,2008,Phenols (as total C),6210.6
Belgium,2008,Polychlorinated biphenyls (PCBs),0.461
Belgium,2008,Polycyclic aromatic hydrocarbons (PAHs),40
Belgium,2008,Tetrachloroethylene,115.5
Belgium,2008,Tetrachloromethane (TCM),18
Belgium,2008,Total nitrogen,5305700
Belgium,2008,Total organic carbon(as total C or COD/3) (TOC),11449700
Belgium,2008,Total phosphorus,772690
Belgium,2008,Trichloroethylene (TRI),24
Belgium,2008,Trichloromethane,235.9
Belgium,2008,Vinyl chloride,360
Belgium,2008,Zinc and compounds (as Zn),81120
Belgium,2009,"1,2-dichloroethane (DCE-1,2)",700.6
Belgium,2009,Arsenic and compounds (as As),1778.98
Belgium,2009,Atrazine,1.57
Belgium,2009,Brominated diphenylethers (PBDE),5.29
Belgium,2009,Cadmium and compounds (as Cd),127.31
Belgium,2009,Chlorides (as total Cl),423040000
Belgium,2009,Chromium and compounds (as Cr),5191.9
Belgium,2009,Copper and compounds (as Cu),5694.7
Belgium,2009,Cyanides (as total CN),16335.2
Belgium,2009,Di-(2-ethyl hexyl) phthalate (DEHP),2.65
Belgium,2009,Dichloromethane (DCM),1721.5
Belgium,2009,Diuron,30.4
Belgium,2009,Fluoranthene,3.54
Belgium,2009,Fluorides (as total F),1213280
Belgium,2009,Halogenated organic compounds (as AOX),28310
Belgium,2009,Hexachlorobutadiene (HCBD),3.13
Belgium,2009,Lead and compounds (as Pb),2448.7
Belgium,2009,Mercury and compounds (as Hg),27.1
Belgium,2009,Naphthalene,12.3
Belgium,2009,Nickel and compounds (as Ni),6549.1
Belgium,2009,Nonylphenol and Nonylphenol ethoxylates,1.05
Belgium,2009,PCDD + PCDF (dioxins + furans) (as Teq),0.001
Belgium,2009,Pentachlorophenol (PCP),2.75
Belgium,2009,Phenols (as total C),873.7
Belgium,2009,Polychlorinated biphenyls (PCBs),0.213
Belgium,2009,Polycyclic aromatic hydrocarbons (PAHs),397.2
Belgium,2009,Simazine,2.7
Belgium,2009,Tetrachloroethylene,96.5
Belgium,2009,Tetrachloromethane (TCM),7
Belgium,2009,Toluene,222
Belgium,2009,Total nitrogen,4178200
Belgium,2009,Total organic carbon(as total C or COD/3) (TOC),10259200
Belgium,2009,Total phosphorus,702560
Belgium,2009,Trichloroethylene (TRI),15
Belgium,2009,Trichloromethane,1221.9
Belgium,2009,Vinyl chloride,290
Belgium,2009,Zinc and compounds (as Zn),60490
Belgium,2010,"1,2-dichloroethane (DCE-1,2)",82
Belgium,2010,Arsenic and compounds (as As),1144.21
Belgium,2010,"Benzo(g,h,i)perylene",6.32
Belgium,2010,Brominated diphenylethers (PBDE),3.81
